id,arm,rep,outcome,ratio,answer_correct,detail
qr-1,quote,1,exact,1.0,True,
qr-2,quote,1,exact,1.0,True,
qr-3,quote,1,paraphrase,0.809,True,recognizably derived but rewritten
qr-4,quote,1,exact,1.0,True,
qr-5,quote,1,exact,1.0,True,
ct-1,quote,1,exact,1.0,True,
ct-2,quote,1,exact,1.0,True,
ct-3,quote,1,exact,1.0,True,
ct-4,quote,1,exact,1.0,True,
ct-5,quote,1,exact,1.0,True,
na-1,quote,1,exact,1.0,True,
na-2,quote,1,exact,1.0,True,
na-3,quote,1,exact,1.0,True,
na-4,quote,1,exact,1.0,True,
na-5,quote,1,exact,1.0,True,
ip-1,quote,1,exact,1.0,True,
ip-2,quote,1,exact,1.0,True,
ip-3,quote,1,exact,1.0,True,
ip-4,quote,1,exact,1.0,True,
ip-5,quote,1,normalized,1.0,True,unicode punctuation / case
ve-1,quote,1,exact,1.0,True,
ve-2,quote,1,exact,1.0,True,
ve-3,quote,1,exact,1.0,True,
ve-4,quote,1,normalized,1.0,True,unicode punctuation / case
ve-5,quote,1,exact,1.0,True,
mm-1,quote,1,exact,1.0,True,
mm-2,quote,1,exact,1.0,True,
mm-3,quote,1,exact,1.0,True,
mm-4,quote,1,exact,1.0,True,
mm-5,quote,1,exact,1.0,True,
qr-1,anchor,1,exact/value-hit,,True,
qr-2,anchor,1,exact/value-hit,,True,
qr-3,anchor,1,exact/value-hit,,True,
qr-4,anchor,1,exact/value-hit,,True,
qr-5,anchor,1,exact/value-hit,,True,
ct-1,anchor,1,exact/value-hit,,True,
ct-2,anchor,1,fuzzy/value-hit,0.966,True,
ct-3,anchor,1,subsequence/value-hit,,True,
ct-4,anchor,1,not_found,,True,
ct-5,anchor,1,exact/value-hit,,True,
na-1,anchor,1,exact/value-hit,,True,
na-2,anchor,1,exact/value-miss,,True,
na-3,anchor,1,fuzzy/value-hit,0.958,True,
na-4,anchor,1,exact/value-hit,,True,
na-5,anchor,1,exact/value-hit,,True,
ip-1,anchor,1,exact/value-hit,,True,
ip-2,anchor,1,exact/value-hit,,True,
ip-3,anchor,1,exact/value-hit,,True,
ip-4,anchor,1,normalized/value-hit,,True,
ip-5,anchor,1,exact/value-hit,,True,
ve-1,anchor,1,subsequence/value-hit,,True,
ve-2,anchor,1,exact/value-hit,,True,
ve-3,anchor,1,exact/value-hit,,True,
ve-4,anchor,1,exact/value-hit,,True,
ve-5,anchor,1,exact/value-hit,,True,
mm-1,anchor,1,exact/value-hit,,True,
mm-2,anchor,1,exact/value-hit,,True,
mm-3,anchor,1,exact/value-hit,,True,
mm-4,anchor,1,exact/value-miss,,True,
mm-5,anchor,1,exact/value-hit,,True,
qr-1,quote,2,exact,1.0,True,
qr-2,quote,2,exact,1.0,True,
