id,arm,rep,outcome,ratio,answer_correct,detail
ab-1,quote,1,refused,,,
ab-2,quote,1,refused,,,
ab-3,quote,1,refused,,,
ab-4,quote,1,refused,,,
ab-5,quote,1,refused,,,
ab-6,quote,1,answered-absent,,,exact
ab-7,quote,1,refused,,,
ab-8,quote,1,refused,,,
ab-9,quote,1,refused,,,
ab-10,quote,1,refused,,,
ab-1,anchor,1,refused,,,
ab-2,anchor,1,refused,,,
ab-3,anchor,1,answered-absent,,,located
ab-4,anchor,1,refused,,,
ab-5,anchor,1,refused,,,
ab-6,anchor,1,refused,,,
ab-7,anchor,1,refused,,,
ab-8,anchor,1,answered-absent,,,located
ab-9,anchor,1,answered-absent,,,located
ab-10,anchor,1,refused,,,
