id,arm,rep,outcome,ratio,answer_correct,detail
ab-1,quote,1,refused,,,
ab-2,quote,1,refused,,,
ab-3,quote,1,refused,,,
ab-4,quote,1,refused,,,
ab-5,quote,1,refused,,,
ab-6,quote,1,refused,,,
ab-7,quote,1,refused,,,
ab-8,quote,1,refused,,,
ab-9,quote,1,refused,,,
ab-10,quote,1,refused,,,
ab-1,anchor,1,refused,,,
ab-2,anchor,1,refused,,,
ab-3,anchor,1,refused,,,
ab-4,anchor,1,refused,,,
ab-5,anchor,1,refused,,,
ab-6,anchor,1,refused,,,
ab-7,anchor,1,answered-absent,,,
ab-8,anchor,1,refused,,,
ab-9,anchor,1,refused,,,
ab-10,anchor,1,refused,,,
ab-1,quote,2,refused,,,
ab-2,quote,2,refused,,,
ab-3,quote,2,refused,,,
ab-4,quote,2,refused,,,
ab-5,quote,2,refused,,,
ab-6,quote,2,refused,,,
ab-7,quote,2,refused,,,
ab-8,quote,2,refused,,,
ab-9,quote,2,refused,,,
ab-10,quote,2,refused,,,
ab-1,anchor,2,refused,,,
ab-2,anchor,2,refused,,,
ab-3,anchor,2,refused,,,
ab-4,anchor,2,refused,,,
ab-5,anchor,2,refused,,,
ab-6,anchor,2,refused,,,
ab-7,anchor,2,answered-absent,,,
ab-8,anchor,2,refused,,,
ab-9,anchor,2,refused,,,
ab-10,anchor,2,refused,,,
ab-1,quote,3,refused,,,
ab-2,quote,3,refused,,,
ab-3,quote,3,refused,,,
ab-4,quote,3,refused,,,
ab-5,quote,3,refused,,,
ab-6,quote,3,refused,,,
ab-7,quote,3,refused,,,
ab-8,quote,3,refused,,,
ab-9,quote,3,refused,,,
ab-10,quote,3,refused,,,
ab-1,anchor,3,refused,,,
ab-2,anchor,3,refused,,,
ab-3,anchor,3,refused,,,
ab-4,anchor,3,refused,,,
ab-5,anchor,3,refused,,,
ab-6,anchor,3,refused,,,
ab-7,anchor,3,answered-absent,,,
ab-8,anchor,3,refused,,,
ab-9,anchor,3,refused,,,
ab-10,anchor,3,refused,,,
