id,arm,outcome,ratio,answer_correct,detail
qr-1,quote,exact,1.0,True,
qr-2,quote,exact,1.0,True,
qr-3,quote,exact,1.0,True,
qr-4,quote,exact,1.0,True,
qr-5,quote,exact,1.0,True,
ct-1,quote,exact,1.0,True,
ct-2,quote,exact,1.0,True,
ct-3,quote,exact,1.0,True,
ct-4,quote,exact,1.0,True,
ct-5,quote,exact,1.0,True,
na-1,quote,exact,1.0,True,
na-2,quote,exact,1.0,True,
na-3,quote,exact,1.0,True,
na-4,quote,minor_edit,0.989,True,small word-level edits
na-5,quote,exact,1.0,True,
ip-1,quote,exact,1.0,True,
ip-2,quote,exact,1.0,True,
ip-3,quote,exact,1.0,True,
ip-4,quote,exact,1.0,True,
ip-5,quote,exact,1.0,True,
ve-1,quote,exact,1.0,True,
ve-2,quote,normalized,1.0,True,unicode punctuation / case
ve-3,quote,exact,1.0,True,
ve-4,quote,minor_edit,0.926,True,small word-level edits
ve-5,quote,normalized,1.0,True,unicode punctuation in quote
mm-1,quote,exact,1.0,True,
mm-2,quote,exact,1.0,True,
mm-3,quote,exact,1.0,True,
mm-4,quote,exact,1.0,True,
mm-5,quote,exact,1.0,True,
qr-1,anchor,exact/value-hit,,True,
qr-2,anchor,exact/value-hit,,False,
qr-3,anchor,exact/value-hit,,True,
qr-4,anchor,exact/value-hit,,False,
qr-5,anchor,exact/value-hit,,False,
ct-1,anchor,exact/value-hit,,True,
ct-2,anchor,exact/value-hit,,False,
ct-3,anchor,fuzzy/value-hit,0.759,True,
ct-4,anchor,exact/value-hit,,True,
ct-5,anchor,exact/value-hit,,True,
na-1,anchor,exact/value-hit,,True,
na-2,anchor,exact/value-hit,,False,
na-3,anchor,exact/value-hit,,False,
na-4,anchor,exact/value-hit,,True,
na-5,anchor,exact/value-hit,,True,
ip-1,anchor,exact/value-hit,,True,
ip-2,anchor,exact/value-hit,,True,
ip-3,anchor,exact/value-hit,,True,
ip-4,anchor,exact/value-hit,,True,
ip-5,anchor,fuzzy/value-hit,0.75,True,
ve-1,anchor,exact/value-hit,,False,
ve-2,anchor,fuzzy/value-miss,0.842,True,
ve-3,anchor,fuzzy/value-hit,0.806,False,
ve-4,anchor,exact/value-hit,,True,
ve-5,anchor,exact/value-hit,,True,
mm-1,anchor,exact/value-miss,,True,
mm-2,anchor,normalized/value-hit,,True,
mm-3,anchor,exact/value-hit,,False,
mm-4,anchor,exact/value-hit,,True,
mm-5,anchor,normalized/value-hit,,True,
