id,arm,rep,outcome,ratio,answer_correct,detail
a2-1,anchor,1,exact/value-hit,,True,
a2-2,anchor,1,subsequence/value-hit,,True,
a2-3,anchor,1,subsequence/value-hit,,True,
a2-4,anchor,1,subsequence/value-hit,,True,
a2-5,anchor,1,exact/value-hit,,True,
a2-6,anchor,1,subsequence/value-hit,,True,
a2-7,anchor,1,exact/value-hit,,False,
a2-8,anchor,1,exact/value-hit,,True,
a2-9,anchor,1,exact/value-hit,,True,
a2-10,anchor,1,exact/value-hit,,True,
a2-11,anchor,1,exact/value-hit,,True,
a2-12,anchor,1,exact/value-hit,,True,
a2-13,anchor,1,exact/value-hit,,True,
a2-14,anchor,1,exact/value-hit,,True,
a2-15,anchor,1,normalized/value-hit,,True,
a2-1,anchor,2,exact/value-hit,,True,
a2-2,anchor,2,subsequence/value-hit,,True,
a2-3,anchor,2,subsequence/value-hit,,True,
a2-4,anchor,2,subsequence/value-hit,,True,
a2-5,anchor,2,exact/value-hit,,True,
a2-6,anchor,2,subsequence/value-hit,,True,
a2-7,anchor,2,exact/value-hit,,False,
a2-8,anchor,2,exact/value-hit,,True,
a2-9,anchor,2,exact/value-hit,,True,
a2-10,anchor,2,exact/value-hit,,True,
a2-11,anchor,2,exact/value-hit,,True,
a2-12,anchor,2,exact/value-hit,,True,
a2-13,anchor,2,exact/value-hit,,True,
a2-14,anchor,2,exact/value-hit,,True,
a2-15,anchor,2,normalized/value-hit,,True,
a2-1,anchor,3,exact/value-hit,,True,
a2-2,anchor,3,subsequence/value-hit,,True,
a2-3,anchor,3,subsequence/value-hit,,True,
a2-4,anchor,3,subsequence/value-hit,,True,
a2-5,anchor,3,exact/value-hit,,True,
a2-6,anchor,3,subsequence/value-hit,,True,
a2-7,anchor,3,exact/value-hit,,False,
a2-8,anchor,3,exact/value-hit,,True,
a2-9,anchor,3,exact/value-hit,,True,
a2-10,anchor,3,exact/value-hit,,True,
a2-11,anchor,3,exact/value-hit,,True,
a2-12,anchor,3,exact/value-hit,,True,
a2-13,anchor,3,exact/value-hit,,True,
a2-14,anchor,3,exact/value-hit,,True,
a2-15,anchor,3,normalized/value-hit,,True,
