id,arm,rep,outcome,ratio,answer_correct,detail
a2-1,anchor2,1,pair/value-hit,,True,
a2-2,anchor2,1,fuzzy/value-miss,0.778,True,
a2-3,anchor2,1,subsequence/value-hit,,True,
a2-4,anchor2,1,pair/value-hit,,True,
a2-5,anchor2,1,exact/value-hit,,True,
a2-1,anchor2,2,pair/value-hit,,True,
a2-2,anchor2,2,fuzzy/value-miss,0.778,True,
a2-3,anchor2,2,subsequence/value-hit,,True,
a2-4,anchor2,2,pair/value-hit,,True,
a2-5,anchor2,2,exact/value-hit,,True,
a2-1,anchor2,3,pair/value-hit,,True,
a2-2,anchor2,3,fuzzy/value-miss,0.778,True,
a2-3,anchor2,3,subsequence/value-hit,,True,
a2-4,anchor2,3,pair/value-hit,,True,
a2-5,anchor2,3,exact/value-hit,,True,
