id,arm,outcome,ratio,answer_correct,detail
h-ar-1,quote,normalized,1.0,True,unicode punctuation / case
h-ar-2,quote,normalized,1.0,True,unicode punctuation / case
h-ar-3,quote,normalized,1.0,True,unicode punctuation / case
h-ar-4,quote,minor_edit,0.976,True,small word-level edits
h-ar-5,quote,normalized,1.0,True,unicode punctuation / case
h-ar-6,quote,normalized,1.0,True,unicode punctuation / case
h-ar-7,quote,normalized,1.0,True,unicode punctuation / case
h-ar-8,quote,paraphrase,0.723,True,recognizably derived but rewritten
h-tr-1,quote,exact,1.0,True,
h-tr-2,quote,exact,1.0,True,
h-tr-3,quote,exact,1.0,True,
h-tr-4,quote,exact,1.0,True,
h-tr-5,quote,exact,1.0,True,
h-tr-6,quote,exact,1.0,True,
h-tr-7,quote,exact,1.0,True,
h-tr-8,quote,exact,1.0,True,
h-em-1,quote,exact,1.0,True,
h-em-2,quote,exact,1.0,True,
h-em-3,quote,exact,1.0,True,
h-em-4,quote,exact,1.0,True,
h-em-5,quote,exact,1.0,True,
h-em-6,quote,exact,1.0,True,
h-ar-1,anchor,normalized/value-hit,,True,
h-ar-2,anchor,normalized/value-hit,,True,
h-ar-3,anchor,normalized/value-hit,,True,
h-ar-4,anchor,fuzzy/value-hit,0.958,True,
h-ar-5,anchor,normalized/value-hit,,True,
h-ar-6,anchor,normalized/value-hit,,True,
h-ar-7,anchor,exact/value-hit,,True,
h-ar-8,anchor,exact/value-hit,,True,
h-tr-1,anchor,exact/value-hit,,True,
h-tr-2,anchor,exact/value-hit,,True,
h-tr-3,anchor,exact/value-hit,,True,
h-tr-4,anchor,exact/value-hit,,True,
h-tr-5,anchor,exact/value-hit,,True,
h-tr-6,anchor,exact/value-hit,,True,
h-tr-7,anchor,exact/value-hit,,True,
h-tr-8,anchor,exact/value-hit,,True,
h-em-1,anchor,exact/value-hit,,True,
h-em-2,anchor,exact/value-hit,,True,
h-em-3,anchor,exact/value-hit,,True,
h-em-4,anchor,exact/value-hit,,True,
h-em-5,anchor,exact/value-hit,,True,
h-em-6,anchor,exact/value-hit,,True,
