id,arm,rep,outcome,ratio,answer_correct,detail
a2-1,anchor2,1,exact/value-hit,,False,
a2-2,anchor2,1,exact/value-hit,,True,
a2-3,anchor2,1,exact/value-hit,,True,
a2-4,anchor2,1,exact/value-hit,,True,
a2-5,anchor2,1,fuzzy/value-hit,0.991,True,
a2-1,anchor2,2,exact/value-hit,,False,
a2-2,anchor2,2,exact/value-hit,,True,
a2-3,anchor2,2,exact/value-hit,,True,
a2-4,anchor2,2,exact/value-hit,,True,
a2-5,anchor2,2,fuzzy/value-hit,0.991,True,
a2-1,anchor2,3,exact/value-hit,,False,
a2-2,anchor2,3,exact/value-hit,,True,
a2-3,anchor2,3,exact/value-hit,,True,
a2-4,anchor2,3,exact/value-hit,,True,
a2-5,anchor2,3,fuzzy/value-hit,0.991,True,
