id,arm,rep,outcome,ratio,answer_correct,detail
a2-1,anchor2,1,pair/value-hit,,True,
a2-2,anchor2,1,subsequence/value-hit,,True,
a2-3,anchor2,1,subsequence/value-hit,,True,
a2-4,anchor2,1,exact/value-hit,,True,
a2-5,anchor2,1,exact/value-hit,,True,
a2-6,anchor2,1,exact/value-hit,,True,
a2-7,anchor2,1,exact/value-hit,,False,
a2-8,anchor2,1,exact/value-hit,,True,
a2-9,anchor2,1,exact/value-hit,,True,
a2-10,anchor2,1,exact/value-hit,,True,
a2-11,anchor2,1,exact/value-hit,,True,
a2-12,anchor2,1,exact/value-hit,,True,
a2-13,anchor2,1,exact/value-hit,,True,
a2-14,anchor2,1,exact/value-hit,,True,
a2-15,anchor2,1,normalized/value-hit,,True,
a2-1,anchor2,2,pair/value-hit,,True,
a2-2,anchor2,2,subsequence/value-hit,,True,
a2-3,anchor2,2,subsequence/value-hit,,True,
a2-4,anchor2,2,exact/value-hit,,True,
a2-5,anchor2,2,exact/value-hit,,True,
a2-6,anchor2,2,exact/value-hit,,True,
a2-7,anchor2,2,exact/value-hit,,False,
a2-8,anchor2,2,exact/value-hit,,True,
a2-9,anchor2,2,exact/value-hit,,True,
a2-10,anchor2,2,exact/value-hit,,True,
a2-11,anchor2,2,exact/value-hit,,True,
a2-12,anchor2,2,exact/value-hit,,True,
a2-13,anchor2,2,exact/value-hit,,True,
a2-14,anchor2,2,exact/value-hit,,True,
a2-15,anchor2,2,normalized/value-hit,,True,
a2-1,anchor2,3,pair/value-hit,,True,
a2-2,anchor2,3,subsequence/value-hit,,True,
a2-3,anchor2,3,subsequence/value-hit,,True,
a2-4,anchor2,3,exact/value-hit,,True,
a2-5,anchor2,3,exact/value-hit,,True,
a2-6,anchor2,3,exact/value-hit,,True,
a2-7,anchor2,3,exact/value-hit,,False,
a2-8,anchor2,3,exact/value-hit,,True,
a2-9,anchor2,3,exact/value-hit,,True,
a2-10,anchor2,3,exact/value-hit,,True,
a2-11,anchor2,3,exact/value-hit,,True,
a2-12,anchor2,3,exact/value-hit,,True,
a2-13,anchor2,3,exact/value-hit,,True,
a2-14,anchor2,3,exact/value-hit,,True,
a2-15,anchor2,3,normalized/value-hit,,True,
